wafer_id,x,y,defect_code,timestamp,lot_id
W0001,-37.64,135.21,4,2026-02-28T14:01:58.764810,LOT001
W0001,69.6,29.6,36,2026-02-28T13:28:04.764810,LOT001
W0001,-103.19,-103.2,29,2026-02-28T13:20:52.764810,LOT001
W0001,30.33,62.42,95,2026-02-28T13:18:20.764810,LOT001
W0001,99.73,-86.3,87,2026-02-28T14:01:54.764810,LOT001
W0001,-95.45,-94.98,70,2026-02-28T13:17:17.764810,LOT001
W0001,-58.73,7.43,76,2026-02-28T13:40:09.764810,LOT001
W0001,-20.42,-62.63,5,2026-02-28T13:13:23.764810,LOT001
W0001,33.56,-108.15,12,2026-02-28T13:26:16.764810,LOT001
W0001,-62.36,-40.09,30,2026-02-28T13:45:50.764810,LOT001
W0001,-13.18,85.55,78,2026-02-28T13:13:09.764810,LOT001
W0001,-90.1,4.27,72,2026-02-28T13:24:55.764810,LOT001
W0001,27.72,-136.06,92,2026-02-28T13:55:42.764810,LOT001
W0001,32.26,-98.84,90,2026-02-28T13:48:33.764810,LOT001
W0001,-58.62,-120.7,54,2026-02-28T13:26:23.764810,LOT001
W0001,55.27,-17.95,58,2026-02-28T13:51:34.764810,LOT001
W0001,-113.39,-1.45,36,2026-02-28T14:06:36.764810,LOT001
W0001,-72.37,48.76,1,2026-02-28T14:03:09.764810,LOT001
W0001,-56.49,6.02,21,2026-02-28T13:59:00.764810,LOT001
W0001,14.01,-94.54,55,2026-02-28T13:34:34.764810,LOT001
W0001,29.37,126.56,36,2026-02-28T13:21:57.764810,LOT001
W0001,-136.43,-52.4,28,2026-02-28T14:03:28.764810,LOT001
W0001,-33.4,-68.6,44,2026-02-28T13:18:19.764810,LOT001
W0001,98.62,-42.97,12,2026-02-28T13:37:17.764810,LOT001
W0001,-65.72,12.81,13,2026-02-28T13:35:51.764810,LOT001
W0001,-107.72,90.66,45,2026-02-28T13:52:33.764810,LOT001
W0001,81.67,-90.39,34,2026-02-28T14:06:26.764810,LOT001
W0001,62.06,68.7,6,2026-02-28T14:01:09.764810,LOT001
W0001,-42.46,-115.24,59,2026-02-28T13:47:57.764810,LOT001
W0001,108.93,36.99,16,2026-02-28T13:37:11.764810,LOT001
W0001,-50.73,-130.93,11,2026-02-28T13:49:02.764810,LOT001
W0001,-56.71,-52.45,38,2026-02-28T14:07:58.764810,LOT001
W0001,68.88,41.27,81,2026-02-28T13:53:34.764810,LOT001
W0001,116.16,-8.34,47,2026-02-28T13:50:45.764810,LOT001
W0001,-114.12,63.97,25,2026-02-28T13:59:26.764810,LOT001
W0001,78.24,18.38,9,2026-02-28T13:14:28.764810,LOT001
W0001,81.29,-1.86,85,2026-02-28T13:26:54.764810,LOT001
W0001,6.82,-21.74,99,2026-02-28T13:31:06.764810,LOT001
W0001,-140.57,40.92,11,2026-02-28T14:09:44.764810,LOT001
W0001,-55.69,2.57,30,2026-02-28T14:10:30.764810,LOT001
W0001,122.27,-75.21,13,2026-02-28T13:37:17.764810,LOT001
W0001,-26.89,76.67,36,2026-02-28T13:42:18.764810,LOT001
W0001,-63.07,-101.63,82,2026-02-28T14:08:17.764810,LOT001
W0001,40.02,111.44,47,2026-02-28T13:22:27.764810,LOT001
W0001,91.1,-94.03,48,2026-02-28T13:35:36.764810,LOT001
W0001,117.77,11.8,27,2026-02-28T13:57:06.764810,LOT001
W0001,-54.6,-116.98,35,2026-02-28T13:59:15.764810,LOT001
W0001,-81.62,-21.87,88,2026-02-28T13:55:35.764810,LOT001
W0001,95.4,108.22,10,2026-02-28T13:52:56.764810,LOT001
W0001,-147.91,3.22,82,2026-02-28T13:23:01.764810,LOT001
W0001,-24.78,-83.37,69,2026-02-28T14:01:07.764810,LOT001
W0001,-114.04,-48.72,32,2026-02-28T13:22:30.764810,LOT001
W0001,132.87,-53.04,60,2026-02-28T13:37:15.764810,LOT001
W0001,5.64,60.91,35,2026-02-28T13:55:02.764810,LOT001
W0001,-40.91,141.53,89,2026-02-28T13:49:22.764810,LOT001
W0001,-0.83,-59.74,29,2026-02-28T13:58:05.764810,LOT001
W0001,32.87,0.8,42,2026-02-28T14:08:53.764810,LOT001
W0001,122.48,-78.13,99,2026-02-28T14:04:19.764810,LOT001
W0001,-106.53,-3.16,8,2026-02-28T13:26:59.764810,LOT001
W0001,51.64,78.49,5,2026-02-28T14:06:18.764810,LOT001
W0001,-78.71,68.46,41,2026-02-28T13:38:44.764810,LOT001
W0001,-39.67,39.69,35,2026-02-28T13:15:52.764810,LOT001
W0001,40.06,10.73,28,2026-02-28T13:50:04.764810,LOT001
W0001,-53.77,-94.04,92,2026-02-28T13:32:49.764810,LOT001
W0001,-137.77,27.27,28,2026-02-28T13:56:05.764810,LOT001
W0001,3.63,-82.05,64,2026-02-28T13:38:21.764810,LOT001
W0001,43.55,-97.69,83,2026-02-28T13:42:40.764810,LOT001
W0001,57.28,-33.98,19,2026-02-28T13:29:25.764810,LOT001
W0001,-47.68,-115.96,18,2026-02-28T13:28:11.764810,LOT001
W0001,-72.62,48.0,96,2026-02-28T13:49:40.764810,LOT001
W0001,95.17,16.56,69,2026-02-28T13:29:17.764810,LOT001
W0001,8.9,-77.44,96,2026-02-28T13:51:15.764810,LOT001
W0001,120.13,39.93,55,2026-02-28T13:51:11.764810,LOT001
W0001,-48.29,-45.24,52,2026-02-28T13:36:03.764810,LOT001
W0001,67.79,119.13,29,2026-02-28T13:20:47.764810,LOT001
W0001,116.13,83.96,66,2026-02-28T13:45:02.764810,LOT001
W0001,42.61,-124.76,12,2026-02-28T14:02:56.764810,LOT001
W0001,-119.56,49.05,7,2026-02-28T14:10:08.764810,LOT001
W0001,14.62,57.57,15,2026-02-28T13:21:47.764810,LOT001
W0001,45.59,-82.72,81,2026-02-28T13:22:16.764810,LOT001
W0001,63.65,-78.83,88,2026-02-28T13:40:10.764810,LOT001
W0001,-52.38,73.95,77,2026-02-28T13:15:41.764810,LOT001
W0001,44.89,104.77,50,2026-02-28T13:37:24.764810,LOT001
W0001,47.28,20.49,77,2026-02-28T13:43:18.764810,LOT001
W0001,-121.9,-39.69,68,2026-02-28T13:28:30.764810,LOT001
W0001,-70.44,-76.8,71,2026-02-28T14:10:06.764810,LOT001
W0001,141.9,-32.07,2,2026-02-28T13:57:47.764810,LOT001
W0001,117.61,39.34,93,2026-02-28T13:19:10.764810,LOT001
W0001,88.44,0.79,88,2026-02-28T13:48:00.764810,LOT001
W0001,23.07,-2.24,97,2026-02-28T13:29:33.764810,LOT001
W0001,-91.43,66.74,99,2026-02-28T13:55:06.764810,LOT001
W0001,43.64,-96.87,44,2026-02-28T13:18:57.764810,LOT001
W0001,124.46,-38.95,38,2026-02-28T13:41:01.764810,LOT001
W0001,-21.54,140.0,21,2026-02-28T13:42:19.764810,LOT001
W0001,-61.67,-34.47,1,2026-02-28T14:00:38.764810,LOT001
W0001,105.34,-54.92,93,2026-02-28T13:29:19.764810,LOT001
W0001,-99.15,17.04,65,2026-02-28T14:03:21.764810,LOT001
W0001,130.85,58.81,23,2026-02-28T13:46:00.764810,LOT001
W0001,21.02,-120.85,14,2026-02-28T14:10:46.764810,LOT001
W0001,-107.97,5.5,81,2026-02-28T13:31:43.764810,LOT001
W0001,113.21,72.23,82,2026-02-28T13:46:00.764810,LOT001
W0001,59.1,60.75,78,2026-02-28T13:24:55.764810,LOT001
W0001,-42.15,-61.92,20,2026-02-28T13:36:52.764810,LOT001
W0001,92.81,93.03,98,2026-02-28T13:22:22.764810,LOT001
W0001,3.4,0.45,70,2026-02-28T14:04:30.764810,LOT001
W0001,89.49,44.99,68,2026-02-28T13:11:23.764810,LOT001
W0001,60.59,88.74,77,2026-02-28T13:33:28.764810,LOT001
W0001,117.0,-48.6,63,2026-02-28T13:12:40.764810,LOT001
W0001,-37.33,-121.81,15,2026-02-28T13:36:07.764810,LOT001
W0001,23.48,-139.22,40,2026-02-28T13:27:41.764810,LOT001
W0001,-10.32,12.79,8,2026-02-28T13:27:47.764810,LOT001
W0001,-64.04,27.25,73,2026-02-28T13:16:43.764810,LOT001
W0001,96.78,-41.94,11,2026-02-28T14:01:18.764810,LOT001
W0001,-111.88,6.67,63,2026-02-28T14:07:03.764810,LOT001
W0001,81.0,-85.25,9,2026-02-28T14:03:16.764810,LOT001
W0001,36.87,-124.4,69,2026-02-28T14:03:37.764810,LOT001
W0001,-134.5,9.41,17,2026-02-28T13:20:06.764810,LOT001
W0001,12.19,41.23,85,2026-02-28T13:43:47.764810,LOT001
W0001,4.89,-53.11,71,2026-02-28T13:22:37.764810,LOT001
W0001,88.56,-68.75,34,2026-02-28T13:47:22.764810,LOT001
W0001,-18.31,-126.46,78,2026-02-28T13:40:14.764810,LOT001
W0001,100.79,58.79,28,2026-02-28T13:48:09.764810,LOT001
W0001,-27.31,-98.01,97,2026-02-28T14:01:10.764810,LOT001
W0001,-103.07,-74.93,89,2026-02-28T13:25:04.764810,LOT001
W0001,14.77,64.38,92,2026-02-28T13:32:37.764810,LOT001
W0001,48.06,-66.02,52,2026-02-28T13:57:12.764810,LOT001
W0001,16.31,33.52,84,2026-02-28T13:36:50.764810,LOT001
W0001,-24.12,-75.68,57,2026-02-28T13:46:40.764810,LOT001
W0001,-43.21,77.35,58,2026-02-28T13:19:36.764810,LOT001
W0001,106.64,61.1,32,2026-02-28T13:26:41.764810,LOT001
W0001,-7.75,-120.65,9,2026-02-28T13:34:25.764810,LOT001
W0001,-2.52,-7.96,3,2026-02-28T13:51:30.764810,LOT001
W0001,-98.04,-19.84,71,2026-02-28T13:27:03.764810,LOT001
W0001,-30.45,34.76,76,2026-02-28T13:26:23.764810,LOT001
W0001,40.53,-136.41,1,2026-02-28T13:16:11.764810,LOT001
W0001,-37.62,37.76,91,2026-02-28T13:54:25.764810,LOT001
W0001,0.94,106.95,8,2026-02-28T13:26:58.764810,LOT001
W0001,47.61,-101.12,9,2026-02-28T13:13:29.764810,LOT001
W0001,-128.83,42.73,43,2026-02-28T13:16:11.764810,LOT001
W0001,-142.05,25.73,66,2026-02-28T13:27:35.764810,LOT001
W0001,132.07,22.64,36,2026-02-28T13:57:01.764810,LOT001
W0001,-33.55,42.99,63,2026-02-28T13:25:58.764810,LOT001
W0001,-12.52,13.69,70,2026-02-28T13:20:22.764810,LOT001
W0001,132.44,-34.17,93,2026-02-28T13:50:19.764810,LOT001
W0001,-121.67,54.9,74,2026-02-28T13:43:37.764810,LOT001
W0001,-128.64,-54.31,32,2026-02-28T14:04:54.764810,LOT001
W0001,94.34,-65.44,61,2026-02-28T14:06:28.764810,LOT001
W0001,-114.55,59.02,53,2026-02-28T13:24:20.764810,LOT001
W0001,38.68,113.24,13,2026-02-28T13:17:58.764810,LOT001
