wafer_id,lot_id,stage_id,tool_id,chamber_id,timestamp,parameter_name,parameter_value,upper_limit,lower_limit
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:16:58.764810,exposure_dose,39.592715,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:16:58.764810,focus_offset,-0.055594,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:16:58.764810,develop_time,60.637804,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:16:58.764810,bake_temperature,110.279041,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:21:58.764810,exposure_dose,36.515773,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:21:58.764810,focus_offset,-0.029044,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:21:58.764810,develop_time,58.94966,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:21:58.764810,bake_temperature,107.224893,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:26:58.764810,exposure_dose,35.362943,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:26:58.764810,focus_offset,-0.095664,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:26:58.764810,develop_time,53.704165,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH1,2026-02-28T14:26:58.764810,bake_temperature,110.816445,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:31:58.764810,exposure_dose,32.714186,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:31:58.764810,focus_offset,-0.021402,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:31:58.764810,develop_time,58.515186,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:31:58.764810,bake_temperature,109.296656,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:36:58.764810,exposure_dose,29.483354,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:36:58.764810,focus_offset,-0.106981,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:36:58.764810,develop_time,60.135056,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:36:58.764810,bake_temperature,108.575252,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:41:58.764810,exposure_dose,34.183426,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:41:58.764810,focus_offset,0.005546,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:41:58.764810,develop_time,57.698013,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:41:58.764810,bake_temperature,110.375698,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:46:58.764810,exposure_dose,34.099042,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:46:58.764810,focus_offset,-0.014585,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:46:58.764810,develop_time,58.796587,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:46:58.764810,bake_temperature,111.852278,115.0,105.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:51:58.764810,exposure_dose,34.979754,40.0,30.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:51:58.764810,focus_offset,-0.052886,0.2,-0.2
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:51:58.764810,develop_time,61.64509,70.0,50.0
W0001,LOT001,Litho,LITHO-A3,CH2,2026-02-28T14:51:58.764810,bake_temperature,108.779156,115.0,105.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:16:58.764810,rf_power,503.132954,550.0,450.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:16:58.764810,pressure,18.04033,25.0,15.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:16:58.764810,gas_flow_cf4,46.015442,60.0,40.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:16:58.764810,gas_flow_o2,10.098431,13.0,7.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:16:58.764810,etch_time,123.692333,140.0,100.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:21:58.764810,rf_power,502.570524,550.0,450.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:21:58.764810,pressure,19.884352,25.0,15.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:21:58.764810,gas_flow_cf4,49.096689,60.0,40.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:21:58.764810,gas_flow_o2,9.260739,13.0,7.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:21:58.764810,etch_time,116.400779,140.0,100.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:26:58.764810,rf_power,493.090418,550.0,450.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:26:58.764810,pressure,21.057122,25.0,15.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:26:58.764810,gas_flow_cf4,51.030855,60.0,40.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:26:58.764810,gas_flow_o2,9.11848,13.0,7.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:26:58.764810,etch_time,121.62042,140.0,100.0
W0001,LOT001,Etch,ETCH-B3,CH1,2026-02-28T18:31:58.764810,rf_power,494.223766,550.0,450.0
